id,Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
36260,2014-02-19 21:00:00,36.347,7.0,0.421,0,1
36261,2014-02-19 22:00:00,39.847,7.8,0.461,0,1
36262,2014-02-19 23:00:00,42.748,7.7,0.495,0,1
36263,2014-02-20 00:00:00,44.759,7.8,0.518,0,1
36264,2014-02-20 01:00:00,46.098,8.0,0.534,0,1
36265,2014-02-20 02:00:00,45.165,7.7,0.523,0,1
36266,2014-02-20 03:00:00,43.473,7.3,0.503,0,1
36267,2014-02-20 04:00:00,81.967,15.8,0.949,0,1
36268,2014-02-20 05:00:00,102.469,29.8,1.186,0,1
36269,2014-02-20 06:00:00,98.77,21.4,1.143,0,1
36270,2014-02-20 07:00:00,89.475,21.9,1.036,0,1
36271,2014-02-20 08:00:00,80.49,20.2,0.932,0,1
36272,2014-02-20 09:00:00,73.533,17.8,0.851,0,1
36273,2014-02-20 10:00:00,67.502,14.1,0.781,0,1
36274,2014-02-20 11:00:00,62.538,12.1,0.724,0,1
36275,2014-02-20 12:00:00,58.709,10.8,0.68,0,1
36276,2014-02-20 13:00:00,55.839,10.6,0.646,0,1
36277,2014-02-20 14:00:00,52.629,10.6,0.609,0,1
36278,2014-02-20 15:00:00,50.317,10.5,0.582,0,1
36279,2014-02-20 16:00:00,48.451,10.8,0.561,0,1
36280,2014-02-20 17:00:00,46.706,10.3,0.541,0,1
36639,2014-03-07 16:00:00,29.584,5.7,0.342,1,2
36640,2014-03-07 17:00:00,48.362,4.7,0.56,1,2
36641,2014-03-07 18:00:00,108.301,27.8,1.253,1,2
36642,2014-03-07 19:00:00,108.192,20.2,1.252,1,2
36643,2014-03-07 20:00:00,134.534,19.3,1.557,1,2
36644,2014-03-07 21:00:00,236.066,126.1,2.732,1,2
36645,2014-03-07 22:00:00,269.34,133.9,3.117,1,2
36646,2014-03-07 23:00:00,271.996,84.4,3.148,1,2
36647,2014-03-08 00:00:00,269.846,81.2,3.123,1,2
36648,2014-03-08 01:00:00,251.487,96.0,2.911,1,2
36649,2014-03-08 02:00:00,222.826,131.2,2.579,1,2
36650,2014-03-08 03:00:00,196.103,188.4,2.27,1,2
36651,2014-03-08 04:00:00,172.782,228.6,2.0,1,2
36652,2014-03-08 05:00:00,154.473,237.8,1.788,1,2
36653,2014-03-08 06:00:00,138.664,233.8,1.605,1,2
36654,2014-03-08 07:00:00,124.669,196.0,1.443,1,2
36655,2014-03-08 08:00:00,113.825,195.0,1.317,1,2
36656,2014-03-08 09:00:00,104.271,160.8,1.207,1,2
36657,2014-03-08 10:00:00,96.692,144.3,1.119,1,2
36658,2014-03-08 11:00:00,90.225,117.6,1.044,1,2
36659,2014-03-08 12:00:00,84.279,105.8,0.975,1,2
36660,2014-03-08 13:00:00,79.482,90.1,0.92,1,2
